,name,floorPrice,marketCap,numOwners,totalSupply,sevenDayChange,sevenDayVolume,oneDayChange,oneDayVolume,thirtyDayChange,thirtyDayVolume,totalVolume,id
5801,CryptoAuthors,0.02,1.78,25.0,89.0,-0.5384615384615385,0.06,0.0,0.0,-0.2083333333333333,0.19,0.93,Q29sbGVjdGlvblN0YXRzVHlwZTo2NjE4NDg=
5802,The beasts,0.05,0.3,3.0,10.0,0.0,0.06,0.0,0.06,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZToxMDI3NDM5
5803,Fast Food sail-o-bots,0.01,0.52,6.0,52.0,0.0,0.06,-1.0,0.0,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZTo5ODA4OTY=
5804,FLVVRS Genesis,0.03,0.3,4.0,10.0,0.0,0.06,0.0,0.0,0.0,0.09,0.09,Q29sbGVjdGlvblN0YXRzVHlwZTo0MDE4Mjc=
5805,Folded Chaos,0.06,0.42,2.0,7.0,0.0,0.06,0.0,0.0,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZTo5MDQ2NTE=
5806,Dankliens,0.005,0.75,11.0,50.0,5.0,0.06,0.0,0.01,4.333333333333334,0.08,0.095,Q29sbGVjdGlvblN0YXRzVHlwZToxNTI0OTQ=
5807,Untitled Collection #62947976,0.0,0.06,2.0,6.0,0.0,0.06,0.0,0.0,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZTo5NzcwMjA=
5808,Rabbits Charm,0.035,1.035,5.0,69.0,0.0,0.06,0.0,0.0,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZTo5ODU0MjM=
5809,Pixel in pixel,0.01,0.3,2.0,10.0,0.0,0.06,0.0,0.0,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZTo3NTkyNDg=
5810,Moonflowers Archive,0.04,0.09,4.0,3.0,0.0,0.06,0.0,0.0,0.0,0.07,0.07,Q29sbGVjdGlvblN0YXRzVHlwZTo4MzQwMjE=
5811,Buddy The Pickle Memes,0.06,0.24,2.0,4.0,0.0,0.06,0.0,0.0,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZTo5Mjg5NjE=
5812,CryptoClocky,0.06,4.9799999999999995,32.0,83.0,0.0,0.06,0.0,0.0,-0.8126658687620336,0.36,3.1817,Q29sbGVjdGlvblN0YXRzVHlwZTo2OTYzMTk=
5813,Tim Beckhardt,0.04,0.15,3.0,5.0,0.0,0.06,1.0,0.04,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZTo3MzI2MDU=
5814,Untitled Collection #63455825,0.0,0.049999999999999996,3.0,5.0,0.0,0.06,0.0,0.0,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZTo5ODgzMTA=
5815,Meaning within the Minimal,0.06,0.6,7.0,10.0,-0.75,0.06,0.0,0.0,0.0,0.38,0.38,Q29sbGVjdGlvblN0YXRzVHlwZTo4MzEzNDk=
5816,Mischief Mob,0.015,4.109999999999999,4.0,137.0,-0.3333333333333333,0.06,0.0,0.0,0.0,0.15,0.15,Q29sbGVjdGlvblN0YXRzVHlwZTo4MjI4MDA=
5817,Fud Punks,0.02,1.5999999999999999,7.0,80.0,-0.4000000000000001,0.06,0.0,0.06,0.0,0.16,0.16,Q29sbGVjdGlvblN0YXRzVHlwZTo5MzYxODA=
5818,Molecules Collection,0.02,0.06,2.0,3.0,0.0,0.06,-1.0,0.0,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZTo1NjIxNDA=
5819,Rope Makers United,0.00132392475132392,2.67,673.0,89.0,-0.14285714285714296,0.06,0.0,0.0,-0.5725654344134287,0.307701294954513,516.517755735856,Q29sbGVjdGlvblN0YXRzVHlwZToxMTgwNg==
5820,MissionDerpy,0.0488,48.839999999999996,47.0,814.0,0.0,0.06,0.0,0.06,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZToxMDEyNDcy
5821,Isabela's muses,0.08,0.24,3.0,4.0,1.0,0.06,0.0,0.06,0.0,0.09,0.09,Q29sbGVjdGlvblN0YXRzVHlwZTo4ODYwMDU=
5822,Dinosaur NFT V3,0.02,0.072,3.0,6.0,0.0,0.06,0.0,0.0,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZTo5ODQ4MTg=
5823,Space n Shapes,0.06,0.36,2.0,6.0,0.0,0.06,0.0,0.0,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZTo1OTc1NQ==
5824,Fluffy Hedgehogs,0.02,0.19999999999999998,4.0,10.0,0.0,0.06,0.0,0.0,0.0,0.06,0.06,Q29sbGVjdGlvblN0YXRzVHlwZTo4NDYxOTI=
5825,Retail Punks,0.01,0.96,26.0,48.0,0.4999999999999999,0.06,0.0,0.0,0.0,0.69,0.69,Q29sbGVjdGlvblN0YXRzVHlwZTo4ODYwNjM=
5826,NFTochis,0.03,15.03,6.0,501.0,-0.3333333333333333,0.06,0.0,0.0,0.0,0.15,0.15,Q29sbGVjdGlvblN0YXRzVHlwZTo4MzUzMTY=
